,0
"(380, -11963, 'rmse')",0.79
"(380, -11963, 'sum')",9
"(554, -11963, 'cfg')","(14, 1, 8)"
"(554, -11963, 'rmse')",0.78
"(554, -11963, 'sum')",5
"(516, -11963, 'cfg')","(7, 1, 2)"
"(516, -11963, 'rmse')",0.26
"(516, -11963, 'sum')",0
"(399, -11963, 'cfg')","(28, 1, 4)"
"(399, -11963, 'rmse')",0.36
"(399, -11963, 'sum')",2
"(459, -11963, 'cfg')","(7, 2, 2)"
"(459, -11963, 'rmse')",0.47
"(459, -11963, 'sum')",3
"(517, -11963, 'cfg')","(28, 0, 8)"
"(517, -11963, 'rmse')",0.61
"(517, -11963, 'sum')",6
"(580, -11963, 'cfg')","(7, 0, 4)"
"(580, -11963, 'rmse')",1.24
"(580, -11963, 'sum')",9
"(589, -11963, 'cfg')","(14, 2, 8)"
"(589, -11963, 'rmse')",1.47
"(589, -11963, 'sum')",16
"(601, -11963, 'cfg')","(7, 0, 4)"
"(601, -11963, 'rmse')",0.76
"(601, -11963, 'sum')",10
"(280, -44540, 'cfg')","(7, 1, 4)"
"(280, -44540, 'rmse')",0.0
"(280, -44540, 'sum')",0
"(380, -44540, 'cfg')","(14, 2, 2)"
"(380, -44540, 'rmse')",0.02
"(380, -44540, 'sum')",0
"(554, -44540, 'cfg')","(14, 2, 2)"
"(554, -44540, 'rmse')",0.0
"(554, -44540, 'sum')",0
"(516, -44540, 'cfg')","(28, 1, 2)"
"(516, -44540, 'rmse')",0.0
"(516, -44540, 'sum')",0
"(399, -44540, 'cfg')","(7, 1, 2)"
"(399, -44540, 'rmse')",0.0
"(399, -44540, 'sum')",0
"(459, -44540, 'cfg')","(14, 1, 2)"
"(459, -44540, 'rmse')",0.0
"(459, -44540, 'sum')",0
"(517, -44540, 'cfg')","(28, 1, 2)"
"(517, -44540, 'rmse')",0.0
"(517, -44540, 'sum')",0
"(580, -44540, 'cfg')","(7, 1, 2)"
"(580, -44540, 'rmse')",0.0
"(580, -44540, 'sum')",0
"(589, -44540, 'cfg')","(7, 1, 2)"
"(589, -44540, 'rmse')",0.0
"(589, -44540, 'sum')",0
"(601, -44540, 'cfg')","(7, 1, 2)"
"(601, -44540, 'rmse')",0.01
"(601, -44540, 'sum')",0
"(280, -41259, 'cfg')","(28, 1, 4)"
"(280, -41259, 'rmse')",0.0
"(280, -41259, 'sum')",0
"(380, -41259, 'cfg')","(7, 1, 8)"
"(380, -41259, 'rmse')",0.0
"(380, -41259, 'sum')",0
"(554, -41259, 'cfg')","(7, 1, 4)"
"(554, -41259, 'rmse')",0.0
"(554, -41259, 'sum')",0
"(516, -41259, 'cfg')","(7, 1, 4)"
"(516, -41259, 'rmse')",0.0
"(516, -41259, 'sum')",0
"(399, -41259, 'cfg')","(14, 1, 2)"
"(399, -41259, 'rmse')",0.0
"(399, -41259, 'sum')",0
"(459, -41259, 'cfg')","(28, 1, 2)"
"(459, -41259, 'rmse')",0.0
"(459, -41259, 'sum')",0
"(517, -41259, 'cfg')","(7, 1, 2)"
"(517, -41259, 'rmse')",0.0
"(517, -41259, 'sum')",0
"(580, -41259, 'cfg')","(7, 1, 4)"
"(580, -41259, 'rmse')",0.0
"(580, -41259, 'sum')",0
"(589, -41259, 'cfg')","(28, 1, 2)"
"(589, -41259, 'rmse')",0.0
"(589, -41259, 'sum')",0
"(601, -41259, 'cfg')","(28, 1, 2)"
"(601, -41259, 'rmse')",0.0
"(601, -41259, 'sum')",0
"(280, -21206, 'cfg')","(28, 1, 2)"
"(280, -21206, 'rmse')",0.0
"(280, -21206, 'sum')",0
"(380, -21206, 'cfg')","(7, 2, 2)"
"(380, -21206, 'rmse')",0.0
"(380, -21206, 'sum')",0
"(554, -21206, 'cfg')","(14, 1, 8)"
"(554, -21206, 'rmse')",0.0
"(554, -21206, 'sum')",0
"(516, -21206, 'cfg')","(7, 1, 4)"
"(516, -21206, 'rmse')",0.0
"(516, -21206, 'sum')",0
"(399, -21206, 'cfg')","(14, 1, 2)"
"(399, -21206, 'rmse')",0.0
"(399, -21206, 'sum')",0
"(459, -21206, 'cfg')","(28, 1, 2)"
"(459, -21206, 'rmse')",0.0
"(459, -21206, 'sum')",0
"(517, -21206, 'cfg')","(28, 1, 4)"
"(517, -21206, 'rmse')",0.0
"(517, -21206, 'sum')",0
"(580, -21206, 'cfg')","(14, 1, 2)"
"(580, -21206, 'rmse')",0.0
"(580, -21206, 'sum')",0
"(589, -21206, 'cfg')","(28, 1, 8)"
"(589, -21206, 'rmse')",0.0
"(589, -21206, 'sum')",0
"(601, -21206, 'cfg')","(28, 1, 2)"
"(601, -21206, 'rmse')",0.0
"(601, -21206, 'sum')",0
"(280, -11968, 'cfg')","(14, 2, 4)"
"(280, -11968, 'rmse')",0.31
"(280, -11968, 'sum')",1
"(380, -11968, 'cfg')","(7, 0, 8)"
"(380, -11968, 'rmse')",1.27
"(380, -11968, 'sum')",12
"(554, -11968, 'cfg')","(14, 2, 2)"
"(554, -11968, 'rmse')",0.71
"(554, -11968, 'sum')",6
"(516, -11968, 'cfg')","(28, 2, 8)"
"(516, -11968, 'rmse')",1.11
"(516, -11968, 'sum')",9
"(399, -11968, 'cfg')","(14, 2, 2)"
"(399, -11968, 'rmse')",0.01
"(399, -11968, 'sum')",0
"(459, -11968, 'cfg')","(28, 1, 8)"
"(459, -11968, 'rmse')",0.53
"(459, -11968, 'sum')",3
"(517, -11968, 'cfg')","(7, 2, 4)"
"(517, -11968, 'rmse')",1.23
"(517, -11968, 'sum')",9
"(580, -11968, 'cfg')","(7, 2, 4)"
"(580, -11968, 'rmse')",0.01
"(580, -11968, 'sum')",0
"(589, -11968, 'cfg')","(14, 1, 8)"
"(589, -11968, 'rmse')",1.33
"(589, -11968, 'sum')",14
"(601, -11968, 'cfg')","(14, 0, 8)"
"(601, -11968, 'rmse')",0.72
"(601, -11968, 'sum')",6
"(280, -11997, 'cfg')","(7, 1, 8)"
"(280, -11997, 'rmse')",0.0
"(280, -11997, 'sum')",0
"(380, -11997, 'cfg')","(28, 1, 4)"
"(380, -11997, 'rmse')",0.0
"(380, -11997, 'sum')",0
"(554, -11997, 'cfg')","(28, 1, 8)"
"(554, -11997, 'rmse')",0.0
"(554, -11997, 'sum')",0
"(516, -11997, 'cfg')","(28, 1, 2)"
"(516, -11997, 'rmse')",0.0
"(516, -11997, 'sum')",0
"(399, -11997, 'cfg')","(7, 1, 4)"
"(399, -11997, 'rmse')",0.0
"(399, -11997, 'sum')",0
"(459, -11997, 'cfg')","(28, 1, 2)"
"(459, -11997, 'rmse')",0.0
"(459, -11997, 'sum')",0
"(517, -11997, 'cfg')","(7, 1, 8)"
"(517, -11997, 'rmse')",0.0
"(517, -11997, 'sum')",0
"(580, -11997, 'cfg')","(14, 1, 4)"
"(580, -11997, 'rmse')",0.0
"(580, -11997, 'sum')",0
"(589, -11997, 'cfg')","(28, 1, 8)"
"(589, -11997, 'rmse')",0.0
"(589, -11997, 'sum')",0
"(280, -41488, 'cfg')","(14, 1, 4)"
"(280, -41488, 'rmse')",0.0
"(280, -41488, 'sum')",0
"(380, -41488, 'cfg')","(28, 1, 8)"
"(380, -41488, 'rmse')",0.0
"(380, -41488, 'sum')",0
"(554, -41488, 'cfg')","(28, 1, 2)"
"(554, -41488, 'rmse')",0.0
"(554, -41488, 'sum')",0
"(516, -41488, 'cfg')","(28, 1, 2)"
"(516, -41488, 'rmse')",0.0
"(516, -41488, 'sum')",0
"(399, -41488, 'cfg')","(14, 1, 4)"
"(399, -41488, 'rmse')",0.0
"(399, -41488, 'sum')",0
"(459, -41488, 'cfg')","(14, 1, 4)"
"(459, -41488, 'rmse')",0.0
"(459, -41488, 'sum')",0
"(517, -41488, 'cfg')","(28, 1, 2)"
"(517, -41488, 'rmse')",0.0
"(517, -41488, 'sum')",0
"(580, -41488, 'cfg')","(7, 1, 8)"
"(580, -41488, 'rmse')",0.0
"(580, -41488, 'sum')",0
"(589, -41488, 'cfg')","(28, 1, 2)"
"(589, -41488, 'rmse')",0.0
"(589, -41488, 'sum')",0
"(280, -31811, 'cfg')","(14, 2, 4)"
"(280, -31811, 'rmse')",0.0
"(280, -31811, 'sum')",0
"(380, -31811, 'cfg')","(28, 1, 4)"
"(380, -31811, 'rmse')",0.0
"(380, -31811, 'sum')",0
"(554, -31811, 'cfg')","(7, 2, 2)"
"(554, -31811, 'rmse')",0.0
"(554, -31811, 'sum')",0
"(516, -31811, 'cfg')","(14, 2, 2)"
"(516, -31811, 'rmse')",0.0
"(516, -31811, 'sum')",0
"(399, -31811, 'cfg')","(7, 1, 4)"
"(399, -31811, 'rmse')",0.0
"(399, -31811, 'sum')",0
"(459, -31811, 'cfg')","(28, 1, 4)"
"(459, -31811, 'rmse')",0.0
"(459, -31811, 'sum')",0
"(517, -31811, 'cfg')","(28, 1, 8)"
"(517, -31811, 'rmse')",0.0
"(517, -31811, 'sum')",0
"(580, -31811, 'cfg')","(14, 1, 4)"
"(580, -31811, 'rmse')",0.0
"(580, -31811, 'sum')",0
"(589, -31811, 'cfg')","(28, 1, 2)"
"(589, -31811, 'rmse')",0.0
"(589, -31811, 'sum')",0
"(601, -31811, 'cfg')","(14, 1, 4)"
"(601, -31811, 'rmse')",0.0
"(601, -31811, 'sum')",0
"(280, -41228, 'cfg')","(7, 2, 8)"
"(280, -41228, 'rmse')",0.0
"(280, -41228, 'sum')",0
