,item_id,site_id,total_sales,product_name
250,-12284,399,3243.53,HER REESES FAST BREAK 1.8z
251,-39077,517,3237.77,HARIBO GMI 5z TWIN SNAKES BAG
252,-21234,280,3231.97,MAR KG 2.83z M&M PB
253,-33263,517,3230,WRI KG SKITTLES 4z WLD BRY
254,-12245,589,3224.74,HER CARAMELLO 1.6z
255,-25200,517,3215.87,TOPPS PUSH POP JUMBO
256,-38014,580,3215.65, SWEETARTS 5z CHWY ROPE BAG
257,-38008,517,3214.56,TROLLI 5z SR BRT CRWLR VRY BRY BAG
258,-41213,580,3209.47,MAR KG 2.83z M&M CARM
259,-12286,459,3207.21,HER REESES PB CUP 1.5z
260,-14625,380,3206.16,BLK FRST 4.5z GMY WORM BAG
261,-41487,589,3195.39,GUSHERS 4.25z FLVR MIX BAG
262,-12012,580,3182.31,WW AUS LIC RED BAG 10z
263,-12308,589,3177.59,STK MAMBA CHEW 2.8z
264,-40287,589,3177.26,HARIBO GMI 5z PEACH BAG
265,-40289,517,3172.71,ALB 8z GMI PEACH RING
266,-12295,589,3167.7,ANB BIG HUNK 2z
267,-38014,516,3164.14, SWEETARTS 5z CHWY ROPE BAG
268,-32335,580,3155.97,HI CHEW 3.53z MIX BAG
269,-42978,517,3154.94,AM LIC SOUR PNCH 5z BLU RASP
270,-12012,516,3134.99,WW AUS LIC RED BAG 10z
271,-41883,580,3128.97,WRI KG EXTRA POLAR ICE MGPK
272,-11968,380,3127.5,HER TWZ 16z STRWB TWIST BAG
273,-12169,554,3110.24,HER KG 2.8z REESES BIG CUP
274,-12220,517,3108.49,TOPPS BABY BTL POP
275,-41487,580,3101.65,GUSHERS 4.25z FLVR MIX BAG
276,-11982,580,3095.69,E FRUTTI 2.7z LNCH BAG
277,-14625,517,3084.16,BLK FRST 4.5z GMY WORM BAG
278,-38020,589,3082.78,PERF AIRHD 6z XTRM BRY BITES BAG
279,-17201,517,3082.77,D*FC RIPS 4z ASRTD BAG
280,-32903,517,3078.83,HER KG WHATCHAMACALLIT 2.6z
281,-31935,517,3070.94,HER REESES 7.6z PB CUP MINIS SUB
282,-16894,380,3063.1,MAR TWIX CARM 1.79z
283,-12012,380,3058.56,WW AUS LIC RED BAG 10z
284,-12165,280,3056.9,MAR KG 3.27z M&M PEANUT
285,-36092,517,3055.07,WRI SKITTLES 7.2z MASH UP BAG
286,-32298,517,3030.02,WRI LFSVR GMI 7z COLLISIONS BAG
287,-40261,516,3018.58,TRKR SNK 5z PEACH RING BAG
288,-38014,399,3015.5, SWEETARTS 5z CHWY ROPE BAG
289,-32304,517,3012.48, SWEETARTS 12z CHWY MINI SUB
290,-12045,517,3011.9,AM LIC SOUR PNCH 5z STRWB BAG
291,-12245,399,3010.11,HER CARAMELLO 1.6z
292,-27907,380,3009.26,SWEETS 5z CHOC CINN BEAR BAG
293,-27619,516,2998.11,MAR KG SNICKERS PB SQRD 3.56z
294,-34365,516,2995.14,TROLLI 4z SR BRT EGGS BAG
295,-12152,554,2989.52,HER KG 3z KIT KAT
296,-39279,517,2985.39,HER KG REESES PB CUP W/REESE PC 2.8z
297,-41883,516,2985.09,WRI KG EXTRA POLAR ICE MGPK
298,-40261,399,2983.9,TRKR SNK 5z PEACH RING BAG
299,-12153,380,2980.87,HER KG 2.6z MILK CHOC
300,-11963,380,2979.91,AM LIC RED VINES 1LB JMB BAG
301,-12295,459,2967.47,ANB BIG HUNK 2z
302,-32305,517,2959.97, SPREE 12z CHWY SUB
303,-17187,580,2959.42,HARIBO GMI 5z GOLD BEARS BAG
304,-12157,459,2959.12,MAR KG 3.23z SNICKERS ALMD
305,-12001,380,2951.03,WW AUS LIC WTRMLN BAG 10z
306,-32360,517,2944.79,WRI 5 ASCENT
307,-42977,589,2944.17,MON SWEDISH FISH 8z RED BAG
308,-12027,380,2943.29,HARIBO GMI 5z RNBW FROGS BAG
309,-12166,380,2942.67,MAR KG 3.14z M&M PLAIN
310,-31692,517,2941.01,WRI BBL TAPE AWESOME ORIG
311,-16893,601,2940.05,MAR KG 3z TWIX CARM 4 TO GO
312,-12027,589,2939.97,HARIBO GMI 5z RNBW FROGS BAG
313,-41213,589,2939.44,MAR KG 2.83z M&M CARM
314,-12295,517,2934.76,ANB BIG HUNK 2z
315,-21234,554,2928.15,MAR KG 2.83z M&M PB
316,-12154,589,2927.75,BUTTERFINGER KG 3.7z
317,-34365,580,2917.9,TROLLI 4z SR BRT EGGS BAG
318,-41480,589,2915.57,MAR M&M PEANUT SUB 10.7z
319,-12016,580,2907.73,HER TWZ 6z CHRY NIBS BAG
320,-32335,589,2897.76,HI CHEW 3.53z MIX BAG
321,-12308,380,2891.44,STK MAMBA CHEW 2.8z
322,-32903,516,2888.79,HER KG WHATCHAMACALLIT 2.6z
323,-32903,380,2885.42,HER KG WHATCHAMACALLIT 2.6z
324,-12002,517,2883.64,I*MAR M&M PB BAG 5.1z
325,-12279,517,2882.61,HER SYMPHONY ALMD 1.5z
326,-12167,380,2879.36,MAR KG 3.6z MILKY WAY
327,-41487,516,2872.24,GUSHERS 4.25z FLVR MIX BAG
328,-34365,459,2871.69,TROLLI 4z SR BRT EGGS BAG
329,-36092,380,2869.76,WRI SKITTLES 7.2z MASH UP BAG
330,-32335,399,2865.43,HI CHEW 3.53z MIX BAG
331,-40510,517,2864.81,HARIBO GMI 10z GOLD BEARS PCH
332,-41882,554,2855.81,WRI KG EXTRA SPEARMINT MGPK
333,-40287,380,2844.88,HARIBO GMI 5z PEACH BAG
334,-12245,459,2839.95,HER CARAMELLO 1.6z
335,-34369,589,2832.65,HI CHEW 3.53z MIX TROP BAG
336,-30263,580,2812.05,MAR KG M&M MINIS MEGA TUBE 1.77z
337,-12172,280,2804.11,HER KG 3z REESES STICKS
338,-27907,516,2799.17,SWEETS 5z CHOC CINN BEAR BAG
339,-27907,580,2794.94,SWEETS 5z CHOC CINN BEAR BAG
340,-38021,589,2794.29,WRI STARBURST 8z MINIS SUB
341,-31934,380,2793.86,HER KIT KAT 7.6z MINIS PCH SUB
342,-12308,459,2787.13,STK MAMBA CHEW 2.8z
343,-12167,516,2785.33,MAR KG 3.6z MILKY WAY
